actual_x, actual_y, actual_z, measured_x, measured_y, measured_z
2.74108,0.216319,0.250317,2.64885,0.254215,0.247603
2.74064,0.218443,0.25013,2.64885,0.254215,0.247603
2.74067,0.219495,0.250627,2.65915,0.255068,0.244216
2.7406,0.221081,0.250368,2.64884,0.254215,0.243262
2.73966,0.222473,0.250589,2.64885,0.258556,0.247603
2.74,0.219758,0.25076,2.65915,0.259426,0.244216
2.74131,0.219536,0.24931,2.66954,0.255928,0.245178
2.74066,0.220252,0.249897,2.66954,0.260303,0.245178
2.74031,0.220537,0.249997,2.66954,0.260303,0.249553
2.84275,0.505274,-0.0469366,2.81235,0.539681,-0.0411873
2.84188,0.506293,-0.046839,2.81235,0.54429,-0.0411873
2.84384,0.503366,-0.0471616,2.81235,0.54429,-0.0411873
2.84236,0.505138,-0.0471551,2.81235,0.539681,-0.0411873
2.84206,0.50553,-0.0466237,2.80083,0.542203,-0.0410267
2.84226,0.507434,-0.0467323,2.80083,0.542203,-0.0410267
2.84212,0.505517,-0.0465595,2.81235,0.54429,-0.0411873
2.84293,0.506143,-0.0473113,2.81235,0.54429,-0.0411873
2.84268,0.50552,-0.0461487,2.80083,0.542203,-0.0456168
2.84138,0.505509,-0.0468903,2.81235,0.54429,-0.0411873
2.8411,0.50685,-0.0469727,2.81235,0.54429,-0.0411873
2.84129,0.509777,-0.047041,2.80083,0.542203,-0.0410267
2.84166,0.509951,-0.0472475,2.80083,0.546793,-0.0410267
2.8414,0.507211,-0.0466981,2.81235,0.548899,-0.0457963
2.84161,0.506983,-0.0471101,2.80083,0.546793,-0.0410267
2.84131,0.507959,-0.0464478,2.81235,0.54429,-0.0411873
2.67373,-0.229348,0.288952,2.57887,-0.178443,0.279047
2.67385,-0.229782,0.289256,2.57887,-0.178443,0.283274
2.67339,-0.229725,0.288987,2.57887,-0.178443,0.283274
2.67333,-0.228943,0.289587,2.57887,-0.178443,0.279047
2.67327,-0.229356,0.288936,2.57887,-0.178443,0.283274
2.6735,-0.231167,0.289194,2.57887,-0.178443,0.283274
2.67382,-0.229101,0.288434,2.57887,-0.178443,0.279047
2.67283,-0.229321,0.28953,2.56918,-0.177641,0.282201
2.67317,-0.230122,0.289417,2.56918,-0.177641,0.282201
2.6732,-0.228928,0.288887,2.57887,-0.178443,0.279047
2.673,-0.229834,0.289152,2.56918,-0.177641,0.282201
2.6734,-0.227811,0.288851,2.57887,-0.178443,0.279047
2.67276,-0.226302,0.288786,2.57887,-0.178443,0.283274
2.67264,0.144039,0.289018,2.56918,0.184464,0.277991
2.67237,0.14349,0.288982,2.56918,0.180254,0.282201
2.67267,0.145457,0.288762,2.58864,0.181354,0.284354
2.67342,0.144119,0.28842,2.57888,0.185028,0.279047
2.67307,0.140156,0.288998,2.56918,0.180254,0.282201
2.67276,0.143183,0.289024,2.57888,0.180802,0.279047
2.67216,0.145881,0.288922,2.56918,0.180254,0.282201
2.6724,0.145431,0.289131,2.56918,0.184464,0.277991
2.61847,-0.0426043,-0.471816,2.75565,0.00111891,-0.49201
2.61856,-0.0451679,-0.472076,2.76681,0.00098174,-0.493994
2.61907,-0.0444377,-0.471648,2.75565,-0.00339722,-0.49201
2.61841,-0.0410765,-0.472045,2.76681,-0.00355267,-0.493994
2.61774,-0.0422676,-0.471668,2.75565,0.00111891,-0.49201
2.61859,-0.0414766,-0.472376,2.76681,0.00098174,-0.493994
2.61831,-0.0412517,-0.47177,2.76681,0.00098174,-0.493994
2.61827,-0.0417431,-0.47198,2.76681,0.00098174,-0.493994
2.61815,-0.0389799,-0.471246,2.75565,0.00111891,-0.49201
2.61796,-0.0401087,-0.471708,2.76681,0.00551615,-0.493994
2.67255,-0.228342,0.289047,2.57887,-0.174217,0.279047
2.67097,-0.229073,0.289811,2.57887,-0.174217,0.279047
2.67176,-0.228741,0.288853,2.56918,-0.177641,0.282201
2.67219,-0.229087,0.288934,2.56918,-0.17343,0.277991
2.67168,-0.229978,0.289333,2.57887,-0.174217,0.279047
2.67253,-0.227806,0.289033,2.57887,-0.178443,0.283274
2.67149,-0.229822,0.289633,2.57887,-0.178443,0.283274
2.67232,-0.228806,0.289567,2.57887,-0.178443,0.283274
2.6727,-0.227907,0.289097,2.56918,-0.177641,0.282201
2.67105,-0.22825,0.289214,2.57887,-0.174217,0.279047
2.67221,-0.227883,0.288867,2.57887,-0.174217,0.279047
2.67239,-0.228032,0.288839,2.57887,-0.178443,0.279047
2.67168,-0.230842,0.288817,2.56918,-0.177641,0.282201
2.67194,-0.228866,0.288339,2.57887,-0.178443,0.279047
2.67104,-0.229865,0.288942,2.57887,-0.174217,0.279047
2.83921,-0.591489,-0.0469285,2.81235,-0.543447,-0.0411873
