ActualX,ActualY,ActualZ,MeasuredX,MeasuredY,MeasuredZ
2.6881,-0.4783,0.265,2.6407,-0.4649,0.2641
2.81,-0.6087,0.0199,2.7736,-0.5955,0.0266
2.8096,-0.6085,0.0202,2.778,-0.5992,0.0276
2.6859,-0.5548,0.266,2.6084,-0.5289,0.2609
2.7251,0.2035,0.2491,2.6386,0.2049,0.2458
2.6511,-0.2447,0.2897,2.5673,-0.228,0.2845
2.6502,-0.3184,0.2905,2.5769,-0.3033,0.2873
2.4916,-0.5478,0.3826,2.4495,-0.5306,0.3806
2.659,0.1271,0.2892,2.5769,0.1342,0.2831
2.8301,0.4043,0.0182,2.8031,0.4057,0.0233
2.4458,0.368,0.4193,2.4779,0.3773,0.428
2.5584,-0.4743,0.3434,2.5577,-0.4684,0.348
2.4458,0.367,0.4192,2.4779,0.3781,0.428
2.6869,-0.5491,0.2654,2.6025,-0.5276,0.2646
2.8305,0.4024,0.018,2.8054,0.4069,0.0233
2.4472,0.4417,0.4192,2.4477,0.4478,0.4236
