logID,Task,Checkpoint,Elapsed Time
2017-Jul-14 14:53:25,1,1,0.001000000
2017-Jul-14 14:53:25,1,2,3.112999999
2017-Jul-14 14:53:25,1,3,81.436000000
2017-Jul-14 14:53:25,1,4,215.536000000
2017-Jul-14 15:42:18,1,1,0.001000000
2017-Jul-14 15:42:18,1,2,1.306000000
2017-Jul-14 15:42:18,1,3,42.279000000
2017-Jul-14 15:42:18,1,4,108.519000000
2017-Jul-17 13:27:59,1,1,0.001000000
2017-Jul-17 13:27:59,1,2,2.133000000
2017-Jul-17 13:27:59,1,3,48.706000000
2017-Jul-17 13:27:59,1,4,143.086000000
2017-Jul-17 13:27:59,1,5,238.396999999
2017-Jul-17 14:11:27,1,1,0.001000000
2017-Jul-17 14:11:27,1,2,1.990000000
2017-Jul-17 14:11:27,1,3,48.423999999
2017-Jul-17 14:11:27,1,4,117.293999999
2017-Jul-17 14:49:01,1,1,0.001000000
2017-Jul-17 14:49:01,1,2,3.291999999
2017-Jul-17 14:49:01,1,3,47.426999999
2017-Jul-17 14:49:01,1,4,119.566999999
2017-Jul-17 14:49:01,1,5,226.467999999
2017-Jul-17 15:27:21,1,1,0.001000000
2017-Jul-17 15:27:21,1,2,1.358000000
2017-Jul-17 15:27:21,1,3,58.591000000
2017-Jul-17 15:27:21,1,4,132.341000000
2017-Jul-17 15:27:21,1,5,278.345000000
2017-Jul-17 16:02:46,1,1,0.001000000
2017-Jul-17 16:02:46,1,2,2.677999999
2017-Jul-17 16:02:46,1,3,83.191999999
2017-Jul-17 16:02:46,1,4,180.491999999
2017-Jul-17 16:02:46,1,5,232.040999999
2017-Jul-17 16:02:46,2,0,0.000000000
2017-Jul-18 12:48:57,1,1,0.001000000
2017-Jul-18 12:48:57,1,2,4.072000000
2017-Jul-18 12:48:57,1,3,52.155000000
2017-Jul-18 12:48:57,1,4,176.705000000
2017-Jul-18 12:48:57,1,5,261.838999999
2017-Jul-18 12:48:57,2,0,0.000000000
2017-Jul-18 13:39:18,1,1,0.001000000
2017-Jul-18 13:39:18,1,2,5.493999999
2017-Jul-18 13:39:18,1,3,79.768000000
2017-Jul-18 13:39:18,1,4,141.548000000
2017-Jul-18 13:39:18,2,0,0.000000000
2017-Aug-25 14:42:25,1,1,0.001000000
2017-Aug-25 14:42:25,1,2,4.546000000
2017-Aug-25 14:42:25,1,3,50.770000000
2017-Aug-25 14:42:25,1,4,111.489999999
2017-Aug-25 14:42:25,2,0,0.000000000
2017-Nov-08 15:19:33,1,1,0.001000000
2017-Nov-08 15:19:33,1,2,1.375000000
2017-Nov-08 15:19:33,1,3,47.378000000
2017-Nov-08 15:19:33,1,4,120.858000000
2017-Nov-13 15:25:07,1,1,0.001000000
2017-Nov-13 15:25:07,1,2,1.383000000
2017-Nov-13 15:25:07,1,3,55.296999999
2017-Nov-13 15:25:07,1,4,125.417000000
2017-Nov-13 15:25:07,1,5,196.905000000
2017-Nov-13 17:22:51,1,1,0.001000000
2017-Nov-13 17:22:51,1,2,4.320000000
2017-Nov-14 14:29:22,1,1,0.001000000
2017-Nov-14 14:29:22,1,2,3.419999999
2017-Nov-14 14:29:22,1,3,57.332999999
2017-Nov-15 12:33:10,1,1,0.001000000
2017-Nov-15 12:33:10,1,2,2.955000000
2017-Nov-15 12:33:10,1,3,49.939000000
2017-Nov-28 11:50:01,1,1,0.001000000
2017-Nov-28 11:50:01,1,2,4.516000000
2017-Nov-28 11:50:01,1,3,56.100000000
2017-Nov-28 11:50:01,1,4,86.969999999
2017-Nov-28 11:50:01,2,0,0.000000000
2017-Dec-04 15:46:27,1,1,0.001000000
2017-Dec-04 15:46:27,1,2,1.686000000
2017-Dec-04 15:46:27,1,3,50.779000000
